id,image_path,caption,safe_label
0001,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000001/coal_conveyor-Level04-SuspendedRail-000001-001.jpg,"In the coal conveyor bridge scene, the protective net is securely in place and undamaged, no abnormalities observed.",safe
0002,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000002/coal_conveyor-Level04-SuspendedRail-000002-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller, no abnormalities observed.",safe
0003,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000003/coal_conveyor-Level04-SuspendedRail-000003-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller, no abnormalities observed.",safe
0004,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000004/coal_conveyor-Level04-SuspendedRail-000004-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller supported by the stent, no abnormalities observed.",safe
0005,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000005/coal_conveyor-Level04-SuspendedRail-000005-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller, supported by the stent and shielded by the protective net, no abnormalities observed.",safe
0006,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000006/coal_conveyor-Level04-SuspendedRail-000006-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller supported by the stent, no abnormalities observed.",safe
0007,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000007/coal_conveyor-Level04-SuspendedRail-000007-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller supported by the stent, no abnormalities observed.",safe
0008,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000008/coal_conveyor-Level04-SuspendedRail-000008-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller, secured by the stent and shielded by the protective net, no abnormalities observed.",safe
0009,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000009/coal_conveyor-Level04-SuspendedRail-000009-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller, with the protective net securely in place and the stent firmly supporting the structure, no abnormalities observed.",safe
0010,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000010/coal_conveyor-Level04-SuspendedRail-000010-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller, supported by the stent and shielded by the protective net, no abnormalities observed.",safe
0011,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000011/coal_conveyor-Level04-SuspendedRail-000011-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller, supported by the stent and shielded by the protective net, no abnormalities observed.",safe
0012,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000012/coal_conveyor-Level04-SuspendedRail-000012-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly along the stent with the railing securely in place, no abnormalities observed.",safe
0013,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000013/coal_conveyor-Level04-SuspendedRail-000013-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller, supported by the stent and bordered by the railing, no abnormalities observed.",safe
0014,/root/autodl-tmp/data/inspecsafe/DATA_PATH/test/Annotations/Normal_data/coal_conveyor-Level04-SuspendedRail-000014/coal_conveyor-Level04-SuspendedRail-000014-001.jpg,"In the coal conveyor bridge scene, the belt runs smoothly over the idler roller, supported by the stent and bordered by the railing, no abnormalities observed.",safe
